iteration,word,label,user_input,marker_offset,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
sared,0,1,205,[189.0],[23.712065286410603],[8.671287738607768],[-1.4059903946057766],[79.53195885841174],[76.11265293186415],[-22.302678183547243],[73.3331513028807]
thief,1,1,-5,"[178.0, 179.0, 180.0, 181.0, 182.0, 183.0, 184.0, 185.0, 186.0, 187.0, 188.0, 189.0]","[6.352341733189126, 4.991769992990401, 2.888685120961463, 1.279208435500843, -0.07236366610205991, -1.2011527841194702, -1.9911670196697084, -2.9544377526493655, -3.1919745428604074, -3.3227925777170952, -3.7745109134543284, -4.734279220421547]","[35.954242029958216, 40.74306641872181, 44.34327425998612, 47.21587161664176, 51.066626458141464, 46.661336934751645, 43.01103255477588, 40.80146624910017, 36.197549463746284, 29.158061941541543, 22.184026023006354, 14.68193369374681]","[-0.9111622671192379, -15.533176614143748, -8.600482333807186, -3.9371843283183097, 3.235655403296839, 12.854400216627095, 28.806200695166773, 45.5192202641923, 54.55896157067032, 63.95903329951997, 66.06176139903738, 73.12329501820928]","[91.57686822510519, 100.86724580101694, 80.34983459298405, 68.0960726836749, 38.506281521813314, 15.591190941146198, -0.5010747145080856, -19.228071027646457, -10.963645163357846, 1.4888022930235465, 34.013054541991984, 64.62130844004557]","[-21.729185130302852, 0.9350355640716188, 23.816233769040632, 62.93094728656287, 91.39550579498045, 104.88322694887087, 102.17225365808152, 74.57787110368167, 35.43369495095061, -6.849353111450284, -7.465563637863774, -11.84077913552801]","[128.82132487169866, 100.73460696575415, 47.91577979276791, -13.903606895453578, -41.683776876229146, -5.422785299896219, 59.90490545223702, 115.46232834148923, 155.95642303497922, 127.00932105778269, 69.92073505123122, 19.756050153521635]","[-39.79712265320386, 56.00667532193886, 138.4909767074222, 155.96094946857284, 131.4974008598915, 55.39122110026018, -2.4443716443040557, -34.32028671944198, 47.731238704981564, 104.7963144468813, 146.34310311808827, 152.73747511796046]"
deets,1,0,1,"[195.0, 196.0, 197.0, 198.0, 199.0, 200.0, 201.0, 202.0, 203.0, 204.0, 205.0, 206.0, 207.0]","[20.447593992250013, 19.88380440713398, 18.421093497858983, 16.488868568591734, 15.227604982041854, 13.476281409129943, 11.786460828813455, 9.999999999995007, 8.188702474165794, 6.548418003693824, 5.0173517195888495, 3.518073334352205, 1.3963251204931524]","[-6.813791798510827, -5.715722218766192, -4.734458407168631, -1.7767473192940493, 2.556941552922506, 7.561322331363316, 14.007725164687782, 21.54145129449813, 28.459780420513617, 34.6252039948306, 42.2137194612015, 45.19138104992057, 45.86094862839552]","[57.326694289782395, 61.15494155263616, 74.12514297926333, 75.44271214798277, 71.38819984556471, 52.527625601863306, 41.476520658203, 25.699238297398608, 10.1118700495335, -3.1583707846461095, -15.306187642465389, -15.30884829232442, -11.886405136694314]","[54.434751507034434, 27.51878050681213, 4.472789979010301, -13.160108625572157, -7.786803300004294, 5.555817109230183, 19.410517615010065, 49.923327672945675, 79.47348841915485, 93.2507393712593, 86.36148170511765, 93.79929058747356, 69.99791860471662]","[-0.9816084661839781, 15.729514223969602, 65.49784564814526, 111.0375192599922, 112.18918875928588, 102.44619745728488, 73.97493240783018, 38.85884496909467, 10.16526397850221, -35.39221688994306, 3.655352553705953, 19.916641521423063, 62.823966298820814]","[117.31488291659372, 116.02944778776079, 82.38754770979607, 37.52105862490601, -23.48096603256066, -41.28986369102243, 30.893902778780426, 76.39506065933355, 151.92288617503033, 120.37402717576975, 110.87260238135005, 46.82448978974225, 13.744424927024511]","[37.77371233953301, -27.66613170225773, -33.14853846945229, 63.63673145068832, 131.65495642174798, 191.8005054049059, 125.32975786889875, 46.503748693872126, -28.593792672330892, -13.053278281458631, 55.1468597641952, 149.72834096335234, 165.30211694445927]"
ausar,0,1,0,"[208.0, 209.0, 210.0, 211.0, 212.0, 213.0, 214.0, 215.0, 216.0, 217.0, 218.0, 219.0, 220.0]","[17.929657312745682, 19.48466966521432, 20.56268539523061, 22.23363086113982, 23.42440999833852, 23.265192013875524, 23.464389445301194, 23.742522522966574, 24.116892435377956, 24.5013113519788, 23.936507734030783, 22.532664393370425, 22.46841302101866]","[46.93393320620799, 46.07492156797586, 49.30155709284438, 44.19566063484498, 39.60613149576289, 35.39081247100115, 29.39439511711275, 22.33432110848163, 14.93776305930685, 9.06645004550813, 3.981763973732683, -1.8490832952359533, -6.730527222973404]","[70.11204009095886, 61.065198610475036, 45.44928371448512, 30.956275782455645, 14.52515172139865, 0.9655576466747746, -3.7966682565666616, -14.049395552981707, -8.167736889523603, -0.054735322441846535, 10.163993755926114, 23.15395179718322, 39.762367384310735]","[67.32970130009407, 38.886917835336966, 11.42017949716653, -3.360548984092553, -11.309080900673287, -4.923506903998934, 8.18742667005376, 33.590897745062826, 57.7792577777216, 92.43880562378165, 93.93479888116926, 84.65180988437012, 72.54585039598066]","[33.445767025366614, 5.70460758474853, -26.467861689617592, -20.57053146091576, 17.463648126207843, 66.68216189582569, 96.29636953578833, 128.59546446692116, 101.27460074161692, 82.38238923954324, 38.99814122432244, -9.391309648153268, -7.796022218299022]","[-2.537245105358828, -26.275949858690907, 6.277365852860811, 59.854119588145764, 117.32080052112858, 133.11888859468826, 140.9852967745031, 68.7040571715423, 20.94017015424985, -14.218112192890757, -28.560407598178358, 40.0143574434271, 106.79168095210707]","[-56.537758057703115, -8.14709546902479, 164.01959332453737, 302.24119084202005, 192.4711501920254, 108.7297684055049, 11.641261735270938, -55.0461082466372, 6.322017191554551, 73.32552375817379, 129.59610644256247, 186.04264857491512, 127.72004747597191]"
