word,label,user_response
tripj,0,0,"[21.0, 22.0, 23.0]","[13.462255036783798, 15.417302727860628, 16.754113213401414]","[33.55496280235412, 41.89222893083647, 44.99485337941007]","[61.871499334024726, 69.7285955906405, 67.39032957071431]","[94.49261543345634, 106.71484166664821, 83.59894136714709]","[124.54426693678028, 102.83880336219579, 73.35175304255509]","[151.65740018964453, 107.12625755911277, 52.20844017222578]","[148.24304342476177, 94.66318380438526, 24.419060436635228]"
frozv,0,0,"[6.0, 7.0]","[23.272682801164343, 24.401979578592524]","[29.02128738629547, 21.936377535485825]","[-11.012073325334326, -15.200979065158538]","[2.392988304350017, 35.01982157543156]","[107.53147207113273, 107.66047410553824]","[143.58681192805372, 68.4415776288638]","[22.982354509425928, -62.108362524632135]"
privy,1,0,"[246.0, 247.0]","[19.578478695180795, 18.441998604556808]","[-7.6824525978428655, -6.574076830631385]","[65.3299157254344, 75.25672330936294]","[25.039889849583822, 6.258200984966053]","[16.838785841314195, 66.62100807387645]","[135.37278844418427, 92.75011768151813]","[-38.72592853325705, -1.7508201873880944]"
srikt,0,0,"[225.0, 226.0, 227.0, 228.0, 229.0, 230.0, 231.0, 232.0, 233.0, 234.0, 235.0, 236.0, 237.0]","[15.039481581250694, 13.370607552439237, 11.775445432249068, 9.999999999993282, 8.24234906039774, 6.532396529080635, 4.670452787267005, 2.9222706849223123, 1.7347890412925413, 0.19976443343988018, -0.35828973873653774, -2.0035595958371153, -3.355745394373259]","[1.2356916876941377, 7.2422928661943065, 14.654270550706494, 21.51769358432906, 28.168268411281762, 35.83660237434103, 38.38730581165647, 45.971481855620986, 48.558817300921774, 47.59204769302535, 47.72679578550363, 42.58580375672236, 42.72548065561534]","[65.9027473888284, 56.7981010162696, 41.50685113106054, 25.460960244844667, 8.883768780324317, -5.083402784258151, -13.266510197041816, -14.416478638780974, -4.207463198781489, -0.02525795792111292, 12.794480967076154, 28.95116199472517, 44.69120274644763]","[-11.568224847416332, 1.7735018555448236, 19.60280025364265, 49.39655087729651, 72.58156182911497, 83.973625561091, 87.07544036482678, 91.0421719816471, 61.700618505426505, 38.63471623605251, 9.49581574171804, -12.51467284625512, -19.911405603724173]","[108.84358695723246, 113.21247089642713, 72.99838303615338, 34.27015168413124, -1.6318569891798311, -35.26202297588532, -11.28776191771747, 19.753656070383265, 61.72304268238399, 101.33575517221078, 110.67272606889625, 116.35841281122566, 73.23706817048561]","[-18.818250747396, -41.32975433435306, 12.261141979003366, 83.97554696672162, 120.50514119557205, 159.1304563750329, 124.78217642016071, 46.563234720966314, -13.490560823599248, -4.05758233783418, 18.87512505320277, 59.914079257573476, 125.79419599336092]","[157.71970735357658, 198.73148787186187, 119.2937649281035, 39.138480341559905, 3.259628133245356, -25.651663870366548, 56.31133765344083, 134.43012255203183, 143.7103964273528, 152.6079926890887, 52.1754968152126, -14.701338159384695, -4.529027501123817]"
preys,1,0,"[230.0, 231.0, 232.0, 233.0, 234.0, 235.0, 236.0, 237.0, 238.0, 239.0, 240.0, 241.0, 242.0]","[11.815907321090128, 13.581815314319796, 15.082497781490785, 16.626192514467178, 18.683240505627275, 19.245560223587912, 20.672869986320013, 22.130867846345705, 22.755750886287878, 23.037228241462433, 23.367920328295163, 23.76355627445878, 24.72580493400137]","[28.839175381918455, 34.439072631825894, 39.579760044518515, 43.52126068603941, 49.444799774789296, 48.79402281870677, 46.91246236306055, 44.159557666060294, 38.87315898581338, 35.779528188165294, 28.639357459745373, 21.95585678125473, 14.623426809544801]","[49.96932740536793, 62.846164203234714, 73.48191121557139, 67.50639462328492, 69.43123145712592, 55.61032477565658, 46.373319548913926, 30.965716518810197, 14.057790437272423, 1.2337955012811839, -6.53690221674126, -13.573233986420021, -7.361563047038058]","[70.79720378598657, 88.8020964301392, 98.07190192353437, 92.55195358545087, 63.23138337240536, 38.716382759111035, 12.555319075452035, -17.66315401354081, -17.226518810126542, -2.197291937218475, 3.0152768654470954, 33.93980370414022, 66.32671268160634]","[113.00477693807662, 118.65174205806862, 113.46247817858436, 84.44510958958841, 32.61290777437211, 7.287963645974308, -3.956488671856324, -25.844563840011617, 22.0216178575707, 63.929621244776996, 94.35173366378072, 126.95036807315743, 109.281627171183]","[124.70800354362396, 167.9164195169632, 116.97094664267763, 48.136611159659275, 6.739137398438631, -48.8059791000186, -10.735265502601985, 59.86647018658085, 130.99050182508716, 162.43923789443858, 137.939337185021, 72.85203172449327, 5.616655139031361]","[177.28141891762664, 144.86942582839185, 86.46864811274656, 19.11482313285705, -33.70329130905522, 26.99819338534326, 82.996377833644, 164.30321286297684, 182.11095800888236, 97.42727151598206, 24.56896594116125, -58.94197021081111, 17.527892762501878]"
houpc,0,0,"[236.0, 237.0]","[0.6856853745233977, -0.6764124914537412]","[47.99942613705198, 46.66517949858468]","[-4.294829126789328, 11.160707123759247]","[38.687075203539436, 7.958285652613439]","[109.99078850792726, 131.9977118156244]","[-44.24104643994341, 14.296696994145835]","[135.4742102733264, 54.08464897751774]"
yikes,1,0,"[220.0, 221.0]","[-3.6568411051715044, -3.3769943851381115]","[8.220887017894745, 1.0484298042409201]","[67.17655694808202, 50.308182182621266]","[89.7677313330018, 87.03832029329449]","[20.655403924316694, 66.45318856121888]","[-16.0831201180172, -31.63493414245596]","[64.23317244243692, -30.8999690589692]"
dosep,0,0,"[203.0, 204.0, 205.0, 206.0, 207.0, 208.0, 209.0, 210.0, 211.0, 212.0, 213.0, 214.0, 215.0]","[2.9679126238670492, 4.75821705886946, 6.54955958423412, 8.263155808476686, 10.000000000012426, 11.745480705891207, 13.476787071006942, 15.42267758291039, 16.641505149042207, 18.61919802424521, 19.491317055192148, 20.352503147487948, 21.778538873507753]","[-3.156408573525426, 0.1085192300639578, 7.979690186272949, 14.418671613407952, 21.318669302137355, 28.279998471699425, 35.941194593745266, 42.09214803594458, 43.43645791232582, 48.08587500937516, 49.22333740548461, 49.6431040120803, 43.87603883477448]","[-16.89485749605646, -4.334663347156523, 1.9273739033529171, 18.071974993202005, 34.690675463079536, 47.01174273352672, 59.86304563146409, 73.75586984378754, 75.67803010119364, 73.5886152353834, 62.45800987246944, 47.776864833357536, 31.07959226964215]","[-16.3576278131971, -25.03488142990353, 0.6582232290414055, 16.703264187419585, 49.28634463839732, 70.23141000460289, 93.80711243420974, 88.85707678896762, 82.72236385418708, 62.70662270286201, 38.65690681917903, 6.821532159568429, -0.8500680919893436]","[-7.858965028298597, -26.796962490434673, -5.912668298937827, 24.373582097089688, 61.11894359380268, 111.18413667421191, 117.5797682356188, 125.21397659529774, 76.73917724338499, 37.48830072956139, -6.322759819093812, -33.93485771064775, -26.738069387589864]","[33.565902875580804, 3.825864433463593, 1.1637148807869588, 28.574112789500504, 85.02399027612591, 132.3547826116405, 153.61811252266173, 123.98082186364145, 47.03537505004419, -6.08390719135555, -18.22237845708432, -11.758020361626464, 59.88031189199966]","[77.60874120909777, 5.598609632370205, -5.9882461611669555, 23.60284569172635, 95.65506908116934, 157.52257729749067, 332.1349413770104, 169.8971890675039, 28.503148109517287, -30.62730932668948, 26.258301952293674, 86.423639293341, 172.5936903672901]"
yugbg,0,0,"[213.0, 214.0]","[1.296884303935784, -0.09238348045488053]","[44.70369982671511, 46.73161498577498]","[-13.234278873531002, -0.5278008893234359]","[67.60841518709903, 38.35410535264367]","[66.73440018213259, 110.9958436936372]","[-5.5501324843481985, -24.547361184593825]","[143.19068657155114, 144.17488450879887]"
kabob,1,0,"[193.0, 194.0]","[-2.9570287740636076, -3.9946543771306944]","[38.8670436991739, 36.323288204834284]","[46.63778478386257, 60.02268877866537]","[-24.800440554272726, -7.310152498656365]","[83.70218132963537, 34.64384880107281]","[117.02455825881842, 128.35006894882824]","[5.093614706300876, 29.68754828383664]"
