iteration,word,label,user_input,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
0,partw,0,0,[],[],[],[],[],[],[],[]
1,rabid,1,0,[64.0],[19.447943190738915],[-9.5355769959899],[68.08632214421145],[24.533524538842787],[26.167986278991574],[128.33687410580978],[2.88973378671518]
2,biker,1,0,[],[],[],[],[],[],[],[]
3,sneeo,0,0,[],[],[],[],[],[],[],[]
4,killx,0,0,[],[],[],[],[],[],[],[]
5,sober,1,0,[],[],[],[],[],[],[],[]
6,abort,1,0,[],[],[],[],[],[],[],[]
7,youse,1,0,[],[],[],[],[],[],[],[]
